epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9794296622276306,0.26696836948394775,0.12096196413040161,0.054083798080682755,0.05242186784744263,0.21337425708770752,0.001,0.5542283058166504,0.9785792231559753,0.9601955413818359,0.9944696426391602,0.9827334880828857,0.28594839572906494,0.19020019471645355,0.10873162746429443,0.088881716132164,0.06783401221036911,0.7398241758346558,0.9824807643890381,0.9825047850608826,0.9941899180412292
1,0.9832019209861755,0.2877790033817291,0.1613590121269226,0.11079103499650955,0.08945277333259583,0.06828366965055466,0.001,0.691731333732605,0.9837139248847961,0.9814301133155823,0.994575023651123,0.9827742576599121,0.3151180148124695,0.22225959599018097,0.184122234582901,0.14918994903564453,0.06407857686281204,0.6807703971862793,0.9865201115608215,0.9787082076072693,0.9954689741134644
2,0.9831075072288513,0.29852476716041565,0.19144919514656067,0.13974271714687347,0.11861556768417358,0.06650111824274063,0.001,0.65522301197052,0.9852914214134216,0.9816627502441406,0.9950919151306152,0.9834309816360474,0.32915645837783813,0.27268269658088684,0.34125593304634094,0.20148253440856934,0.07300816476345062,0.5793775916099548,0.993698000907898,0.9627500176429749,0.9977219104766846
3,0.9845284819602966,0.33891427516937256,0.27561503648757935,0.2563825845718384,0.18070586025714874,0.05373126268386841,0.001,0.69147789478302,0.9889232516288757,0.981216311454773,0.9962429404258728,0.9854306578636169,0.36085450649261475,0.37282392382621765,0.3804570138454437,0.19800467789173126,0.047299355268478394,0.7137095928192139,0.9917009472846985,0.9795721173286438,0.9971340298652649
4,0.9849679470062256,0.3615744411945343,0.33115774393081665,0.32560986280441284,0.21200890839099884,0.05055990070104599,0.001,0.70233154296875,0.9895573258399963,0.9812259078025818,0.9964478611946106,0.9848234057426453,0.3620671331882477,0.29832905530929565,0.28212040662765503,0.20396475493907928,0.05116657912731171,0.6989037990570068,0.9875600934028625,0.9826377630233765,0.9958234429359436
5,0.9866264462471008,0.39551928639411926,0.39995962381362915,0.4011864960193634,0.251228004693985,0.04360579699277878,0.001,0.6712148189544678,0.9909090995788574,0.9825628399848938,0.9968818426132202,0.9893966317176819,0.45084360241889954,0.564649760723114,0.5396223664283752,0.25185927748680115,0.0330793596804142,0.687179684638977,0.9914987087249756,0.9866958856582642,0.9971059560775757
6,0.9878080487251282,0.4224716126918793,0.4830630421638489,0.43735265731811523,0.2732526361942291,0.038991160690784454,0.001,0.6627101898193359,0.991165280342102,0.9841365814208984,0.9969720840454102,0.9884163737297058,0.43549013137817383,0.5010358691215515,0.5600206851959229,0.30904969573020935,0.03649643808603287,0.6484555006027222,0.9942525029182434,0.9814870953559875,0.9979296326637268
7,0.9870737791061401,0.4139460623264313,0.4503870904445648,0.41601672768592834,0.2779061794281006,0.04231978580355644,0.001,0.6478745937347412,0.9908812642097473,0.9831739068031311,0.9968823194503784,0.9883602261543274,0.4171164929866791,0.6044983863830566,0.22634616494178772,0.21315859258174896,0.038901690393686295,0.8032230138778687,0.9896723031997681,0.9865539073944092,0.9965412020683289
8,0.989454984664917,0.4595808684825897,0.577221155166626,0.47951415181159973,0.30634698271751404,0.030966464430093765,0.00020000001,0.7774798274040222,0.9921364784240723,0.9865671992301941,0.9973007440567017,0.990301787853241,0.49083375930786133,0.5995791554450989,0.5498117208480835,0.3222479224205017,0.030411729589104652,0.7667626142501831,0.9922177195549011,0.9879201054573059,0.9973421096801758
9,0.9902936220169067,0.49964919686317444,0.6068435311317444,0.5645221471786499,0.38047948479652405,0.02732287347316742,0.00020000001,0.7548604011535645,0.9927577972412109,0.9874467849731445,0.9975060224533081,0.9911258220672607,0.5137186646461487,0.6456349492073059,0.6197794079780579,0.3311033248901367,0.02721206471323967,0.7572649717330933,0.9932184219360352,0.9883874654769897,0.9976723194122314
10,0.9907537698745728,0.5149094462394714,0.6283156275749207,0.5797868371009827,0.3966931104660034,0.025653090327978134,0.00020000001,0.7538604736328125,0.9928984642028809,0.9881543517112732,0.9975619316101074,0.9914292097091675,0.5184485912322998,0.6580004096031189,0.6195935010910034,0.35784339904785156,0.026013555005192757,0.7526782751083374,0.993513286113739,0.988456130027771,0.9977591037750244
11,0.9909916520118713,0.5193659067153931,0.636326014995575,0.5851655602455139,0.408469021320343,0.024819493293762207,0.00020000001,0.7610492706298828,0.9931681752204895,0.9883031845092773,0.9976482391357422,0.9915309548377991,0.5301839709281921,0.6858972311019897,0.6150206923484802,0.39812421798706055,0.025280525907874107,0.7615121603012085,0.9931967258453369,0.9890763759613037,0.9976682662963867
12,0.9912436604499817,0.5275344252586365,0.6419042944908142,0.5914110541343689,0.4247557520866394,0.024194644764065742,0.00020000001,0.7781013250350952,0.9931319952011108,0.9887009859085083,0.9976416826248169,0.991171658039093,0.5297488570213318,0.6851361989974976,0.6233155131340027,0.4164002537727356,0.025918519124388695,0.7552363872528076,0.9931966662406921,0.9883877635002136,0.9976688027381897
13,0.9914116859436035,0.5332679152488708,0.6503980159759521,0.5970550179481506,0.44047144055366516,0.02354145422577858,0.00020000001,0.7778012752532959,0.9932816624641418,0.9888547658920288,0.9976900219917297,0.991627037525177,0.5349769592285156,0.6918207406997681,0.5941558480262756,0.37970077991485596,0.025771768763661385,0.7804334163665771,0.9927724599838257,0.9897724986076355,0.997545063495636
14,0.9920936822891235,0.5502147078514099,0.6801865696907043,0.6168990731239319,0.4671953320503235,0.02176225744187832,4.0000003e-05,0.7865310907363892,0.9936190843582153,0.9897527098655701,0.9978100061416626,0.9919999241828918,0.5545494556427002,0.7044516205787659,0.6474702954292297,0.4107113480567932,0.023981155827641487,0.7905789613723755,0.9933673739433289,0.9898344278335571,0.9977403879165649
15,0.9921889305114746,0.5571715831756592,0.6878017783164978,0.6212673187255859,0.4685215950012207,0.021442873403429985,4.0000003e-05,0.7900506258010864,0.9935669302940369,0.9900243282318115,0.9977974891662598,0.9916373491287231,0.5561794638633728,0.6976157426834106,0.6445844769477844,0.43961822986602783,0.024165306240320206,0.7866925001144409,0.993073046207428,0.9893893599510193,0.9976422190666199
16,0.9922562837600708,0.5592443943023682,0.6876286864280701,0.6204900741577148,0.4787828326225281,0.021232547238469124,4.0000003e-05,0.7907788753509521,0.9936435222625732,0.9900498986244202,0.9978225231170654,0.9918861389160156,0.5608190298080444,0.7182400226593018,0.6400003433227539,0.44166699051856995,0.023628005757927895,0.789527952671051,0.9930378794670105,0.9898945689201355,0.9976347088813782
17,0.9923356771469116,0.5617901682853699,0.6921380758285522,0.6246558427810669,0.4823814928531647,0.0210151094943285,4.0000003e-05,0.7936844825744629,0.9936411380767822,0.9901797771453857,0.9978232383728027,0.9921302199363708,0.5630717873573303,0.7099912166595459,0.6549052000045776,0.43087244033813477,0.023554567247629166,0.8011585474014282,0.9933557510375977,0.9900823831558228,0.9977381825447083
18,0.9924225807189941,0.5656211376190186,0.694172739982605,0.6289718151092529,0.4854104220867157,0.020784132182598114,4.0000003e-05,0.7986430525779724,0.9936707615852356,0.9903333187103271,0.9978354573249817,0.9921936988830566,0.5663371682167053,0.7228434085845947,0.6546612977981567,0.43588313460350037,0.02326011285185814,0.7967666983604431,0.993273138999939,0.9902568459510803,0.9977158308029175
19,0.9925015568733215,0.5684379935264587,0.6979475021362305,0.630303144454956,0.489448219537735,0.020606689155101776,4.0000003e-05,0.8015647530555725,0.9937010407447815,0.9904567003250122,0.9978471994400024,0.9919587969779968,0.5679008364677429,0.7124704122543335,0.648872971534729,0.454181045293808,0.023609161376953125,0.8066209554672241,0.993079423904419,0.9900076389312744,0.9976491332054138
20,0.9925954341888428,0.571047842502594,0.6997307538986206,0.6351441740989685,0.49599799513816833,0.020312700420618057,4.0000003e-05,0.8065817356109619,0.9937853813171387,0.9905477166175842,0.9978747963905334,0.9920199513435364,0.5708501935005188,0.723780632019043,0.6363386511802673,0.4587881863117218,0.023570416495203972,0.8006614446640015,0.9928552508354187,0.9903140664100647,0.9975833296775818
21,0.9927448034286499,0.5745570659637451,0.7049769163131714,0.6299369931221008,0.5107529163360596,0.019979579374194145,8.000001e-06,0.8045381307601929,0.993819534778595,0.9907652735710144,0.9978875517845154,0.9922423362731934,0.5721476674079895,0.7248594164848328,0.6507372856140137,0.45416444540023804,0.02311202511191368,0.8037748336791992,0.9931821823120117,0.9904307723045349,0.9976857304573059
22,0.9928075671195984,0.5765292048454285,0.7076557278633118,0.634284257888794,0.5106836557388306,0.01982361264526844,8.000001e-06,0.8064104318618774,0.9938675165176392,0.9908400177955627,0.9979040026664734,0.9923316240310669,0.5734360814094543,0.7277225852012634,0.6552687287330627,0.4511670172214508,0.02297692745923996,0.8055132627487183,0.993262529373169,0.9905129671096802,0.9977127313613892
23,0.9928451180458069,0.5777469277381897,0.7119553089141846,0.6353461742401123,0.5073649883270264,0.019719954580068588,8.000001e-06,0.8081332445144653,0.9938685894012451,0.9909113645553589,0.9979060888290405,0.9921530485153198,0.5694089531898499,0.712480366230011,0.6642591953277588,0.4546298086643219,0.023290155455470085,0.8078546524047852,0.9934027194976807,0.9900524020195007,0.997752845287323
24,0.9928575158119202,0.5782644152641296,0.7096889615058899,0.6397262215614319,0.5127726197242737,0.019707398489117622,8.000001e-06,0.8082616925239563,0.9939431548118591,0.9908653497695923,0.9979272484779358,0.9922725558280945,0.5734708905220032,0.7196425199508667,0.6600756049156189,0.4553484618663788,0.023104451596736908,0.8108317852020264,0.9933125376701355,0.9903668761253357,0.9977274537086487
